PID,PPID,COMM,UID,GID,Local IP,Remote IP,Port,Protocol,File Path,CPU Usage,Memory Usage,Disk IO,Network Activity,Label,,
1,0,services32.exe,1000,1000,192.168.1.145,22.248.17.237,22,UDP,/tmp/services32.exe,52.3130474,635,1494,439,1,,
2,1,svchost.exe,33,33,192.168.1.201,113.194.141.130,3389,UDP,C:\Windows\System32\Drivers\svchost.exe,6.451599693,429,11,45,0,,
3,0,chrome,33,33,192.168.1.34,136.193.72.221,8080,TCP,/opt/bin/chrome,4.516426951,151,13,22,0,,
4,1,sshd,1000,1000,192.168.1.235,114.62.145.1,3389,TCP,/opt/bin/sshd,4.137069557,361,77,34,0,,
5,2,sshd,33,33,192.168.1.98,36.205.114.77,80,TCP,/opt/bin/sshd,1.560121639,343,77,20,0,,
6,5,systemd,1000,1000,192.168.1.235,47.167.92.36,443,TCP,/var/lib/systemd,8.321035033,57,75,19,0,,
7,4,mysqld,0,0,192.168.1.55,82.71.4.43,8080,TCP,C:\Program Files\mysqld,5.593135885,144,62,5,0,,
8,5,mysqld,1001,1001,192.168.1.83,64.51.81.198,80,UDP,C:\Windows\System32\Drivers\mysqld,5.829414567,164,100,11,0,,
9,3,bash,1000,1000,192.168.1.166,165.63.235.247,80,UDP,/sbin/bash,6.524341264,72,90,11,0,,
10,8,explorer.exe,0,0,192.168.1.65,62.59.170.100,53,UDP,/sbin/explorer.exe,3.136361354,112,30,18,0,,
11,5,svchost.exe,0,0,192.168.1.29,63.27.216.175,3389,TCP,/usr/bin/svchost.exe,5.223471019,229,36,23,0,,
12,9,python,33,33,192.168.1.68,76.123.19.248,53,TCP,C:\Program Files (x86)\python,7.924406858,220,19,32,0,,
13,5,mysqld,1001,1001,192.168.1.145,193.200.61.202,22,UDP,/sbin/mysqld,5.467808274,309,59,41,0,,
14,4,node,0,0,192.168.1.107,90.238.72.36,22,TCP,/usr/sbin/node,8.623345973,420,22,18,0,,
15,12,explorer.exe,0,0,192.168.1.35,48.44.84.226,8080,UDP,C:\Program Files\explorer.exe,9.047511624,282,54,29,0,,
16,7,mysqld,1000,1000,192.168.1.28,100.116.40.129,443,UDP,/sbin/mysqld,9.294884583,179,94,45,0,,
17,6,firefox,1001,1001,192.168.1.187,231.125.169.22,4444,TCP,/usr/bin/firefox,7.382829562,300,88,50,0,,
18,14,node,1001,1001,192.168.1.241,46.79.42.111,22,UDP,/opt/bin/node,8.124721862,142,89,41,0,,
19,12,chrome,0,0,192.168.1.128,234.125.48.205,443,TCP,/usr/bin/chrome,3.814847868,154,73,10,0,,
20,0,logmanager.exe,1000,1000,192.168.1.155,139.85.217.59,443,UDP,C:\PerfLogs\logmanager.exe,1.923594664,178,19,15,1,,
21,11,bash,1001,1001,192.168.1.108,223.67.74.244,22,TCP,/usr/bin/bash,3.298891748,476,57,32,0,,
22,1,chrome,0,0,192.168.1.109,153.186.232.124,3389,UDP,/usr/sbin/chrome,2.808067915,261,64,12,0,,
23,13,firefox,0,0,192.168.1.85,46.195.186.40,8080,UDP,/usr/sbin/firefox,1.746087949,227,44,28,0,,
24,3,driver64.exe,33,33,192.168.1.189,65.192.18.60,3389,TCP,/home/user/.local/bin/driver64.exe,4.295650853,14,28,3,1,,
25,18,sshd,1001,1001,192.168.1.225,64.222.213.81,4444,TCP,/opt/bin/sshd,1.357150511,117,29,46,0,,
26,14,chrome,33,33,192.168.1.123,106.201.17.78,443,UDP,/bin/chrome,8.85418665,407,95,16,0,,
27,5,svchost.exe,0,0,192.168.1.99,236.107.118.166,3389,UDP,/sbin/svchost.exe,4.435543057,338,27,13,0,,
28,25,winupd.exe,1001,1001,192.168.1.200,92.239.234.235,443,TCP,C:\Users\Public\winupd.exe,92.66025545,1492,2027,925,1,,
29,25,chrome,1000,1000,192.168.1.96,24.189.113.17,80,UDP,/usr/bin/chrome,2.716709298,280,46,2,0,,
30,7,chrome,1000,1000,192.168.1.233,162.48.94.240,3389,TCP,/usr/bin/chrome,7.836240821,117,45,20,0,,
31,18,chrome,1001,1001,192.168.1.91,236.214.133.190,443,TCP,/var/lib/chrome,4.054699694,58,95,16,0,,
32,5,update_service.exe,1000,1000,192.168.1.93,226.147.189.205,53,UDP,/etc/init.d/update_service.exe,3.002994162,13,4,21,1,,
33,5,python,33,33,192.168.1.94,238.253.51.108,80,UDP,C:\Windows\System32\Drivers\python,3.575926882,338,29,10,0,,
34,7,logmanager.exe,1000,1000,192.168.1.125,100.208.254.92,3389,TCP,/home/user/.config/logmanager.exe,4.700236272,78,1,22,1,,
35,33,firefox,1001,1001,192.168.1.201,87.178.161.102,4444,TCP,C:\Program Files (x86)\firefox,1.057485892,322,68,28,0,,
36,15,systemd,1001,1001,192.168.1.254,246.138.27.53,53,TCP,/usr/bin/systemd,9.697618707,296,27,3,0,,
37,8,winupd.exe,1001,1001,192.168.1.214,57.228.152.197,8080,TCP,C:\Windows\SysWOW64\winupd.exe,86.32329193,1411,3737,570,1,,
38,35,explorer.exe,0,0,192.168.1.6,238.64.117.219,22,TCP,C:\Program Files (x86)\explorer.exe,3.879206207,376,100,46,0,,
39,9,bash,0,0,192.168.1.99,149.29.6.241,4444,TCP,/usr/sbin/bash,2.17204226,381,67,42,0,,
40,28,node,33,33,192.168.1.132,41.132.27.192,4444,UDP,/opt/bin/node,7.467635959,106,42,11,0,,
41,40,node,1000,1000,192.168.1.197,40.24.229.22,80,TCP,/bin/node,1.119530686,217,55,35,0,,
42,35,python,33,33,192.168.1.112,22.184.48.159,8080,UDP,/bin/python,8.588769322,58,47,31,0,,
43,30,firefox,1001,1001,192.168.1.239,190.166.206.98,3389,UDP,/var/lib/firefox,5.318793876,421,66,32,0,,
44,17,services32.exe,1000,1000,192.168.1.233,242.103.252.12,3389,UDP,C:\Windows\Temp\services32.exe,51.8342826,729,3446,145,1,,
45,37,bash,1000,1000,192.168.1.97,190.236.164.123,53,UDP,/opt/bin/bash,9.213516436,279,73,8,0,,
46,13,node,1001,1001,192.168.1.67,218.149.213.40,443,UDP,C:\Program Files\node,8.576100904,464,67,29,0,,
47,34,java,1001,1001,192.168.1.97,224.84.142.141,4444,UDP,C:\Windows\System32\Drivers\java,5.520515286,101,24,0,0,,
48,7,firefox,1001,1001,192.168.1.179,77.7.129.6,8080,UDP,/bin/firefox,4.409355718,498,96,26,0,,
49,39,svchost.exe,1001,1001,192.168.1.123,215.95.222.74,22,TCP,/var/lib/svchost.exe,5.13182706,146,83,35,0,,
50,25,node,1001,1001,192.168.1.71,207.111.88.137,8080,TCP,C:\Program Files (x86)\node,7.497689548,274,28,20,0,,
51,23,chrome,0,0,192.168.1.91,5.110.130.212,4444,UDP,/sbin/chrome,6.879741767,79,93,31,0,,
52,22,svch0st.exe,33,33,192.168.1.228,2.24.192.157,80,TCP,C:\Users\<user>\AppData\Local\Microsoft\svch0st.exe,85.22519046,971,3383,243,1,,
53,52,explorer.exe,0,0,192.168.1.75,155.78.254.143,443,TCP,/usr/sbin/explorer.exe,5.604706105,339,86,36,0,,
54,10,chrome,1000,1000,192.168.1.162,62.242.224.201,22,TCP,/usr/bin/chrome,2.837960714,416,32,1,0,,
55,40,backgroundtask.exe,1000,1000,192.168.1.235,158.76.221.196,8080,TCP,/dev/shm/backgroundtask.exe,0.837141218,64,39,6,1,,
56,18,svchost.exe,1001,1001,192.168.1.133,8.229.181.2,80,UDP,/var/lib/svchost.exe,5.989523558,374,65,50,0,,
57,56,chrome,1000,1000,192.168.1.90,231.244.177.102,80,TCP,/usr/bin/chrome,1.339054234,443,26,9,0,,
58,29,mysqld,33,33,192.168.1.159,32.9.91.17,443,UDP,C:\Windows\System32\Drivers\mysqld,2.707184836,373,25,21,0,,
59,46,bash,1001,1001,192.168.1.180,208.234.88.138,4444,UDP,C:\Windows\System32\Drivers\bash,8.114594753,346,20,4,0,,
60,13,firefox,0,0,192.168.1.74,146.176.63.171,4444,TCP,/usr/sbin/firefox,5.260643636,78,69,41,0,,
61,35,bash,1000,1000,192.168.1.83,154.42.26.84,80,UDP,C:\Program Files\bash,8.904850176,130,47,33,0,,
62,37,bash,0,0,192.168.1.213,66.17.103.42,443,UDP,C:\Program Files\bash,4.899392444,167,51,28,0,,
63,26,java,1001,1001,192.168.1.141,250.64.201.129,53,UDP,/var/lib/java,4.510936455,414,85,6,0,,
64,41,python,1001,1001,192.168.1.254,79.24.161.71,80,UDP,C:\Program Files\python,6.562929939,64,10,34,0,,
65,1,sysdiag.exe,0,0,192.168.1.63,21.253.119.28,53,UDP,/dev/shm/sysdiag.exe,50.9678762,1455,4739,188,1,,
66,45,svchost.exe,33,33,192.168.1.52,255.210.253.217,3389,UDP,/usr/sbin/svchost.exe,9.22963793,333,41,12,0,,
67,12,java,0,0,192.168.1.173,77.139.214.182,3389,TCP,/opt/bin/java,8.837580684,355,77,19,0,,
68,30,sshd,1001,1001,192.168.1.140,30.190.103.166,443,UDP,C:\Program Files (x86)\sshd,5.707556022,445,37,6,0,,
69,10,sshd,1000,1000,192.168.1.196,61.210.30.16,8080,TCP,/bin/sshd,2.824302639,286,96,46,0,,
70,16,explorer.exe,1000,1000,192.168.1.219,168.194.194.91,443,TCP,/opt/bin/explorer.exe,8.458460202,187,11,17,0,,
71,68,explorer.exe,1000,1000,192.168.1.199,213.29.47.255,80,UDP,/opt/bin/explorer.exe,8.328408765,94,47,18,0,,
72,17,bash,1000,1000,192.168.1.186,173.243.199.55,4444,UDP,/var/lib/bash,7.616713431,471,50,41,0,,
73,12,java,1001,1001,192.168.1.17,235.38.14.188,8080,UDP,C:\Windows\System32\Drivers\java,7.812818872,149,54,8,0,,
74,9,firefox,0,0,192.168.1.60,108.78.153.178,80,TCP,C:\Windows\System32\Drivers\firefox,4.537449007,474,50,48,0,,
75,22,bash,33,33,192.168.1.170,188.177.199.88,53,UDP,/usr/sbin/bash,2.634267025,95,82,33,0,,
76,2,chrome,0,0,192.168.1.51,144.72.171.116,3389,UDP,/var/lib/chrome,7.372468376,321,49,45,0,,
77,21,chrome,1000,1000,192.168.1.121,110.12.141.186,53,UDP,/opt/bin/chrome,6.319834087,498,31,14,0,,
78,72,svch0st.exe,1000,1000,192.168.1.213,77.101.171.183,4444,TCP,/tmp/svch0st.exe,96.14534522,703,2690,680,1,,
79,76,node,33,33,192.168.1.7,53.112.186.181,8080,TCP,/bin/node,3.189601563,142,34,12,0,,
80,27,bash,1000,1000,192.168.1.159,121.159.186.198,22,TCP,/usr/bin/bash,7.736946887,347,45,35,0,,
